id,name,name_en,slug,type,region,governorate_id,governorate,parent_id,inside_city_id,inside_city,latitude,longitude,coordinate_quality,delivery_fee,standard_delivery_fee,express_delivery_fee,free_delivery_over,active,source_note
1015,الجديدة,Al Jadeeda,al-jadeeda,village,west_bank,1,جنين,,,,32.403819,35.28677,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1016,مركة,Marka,marka,village,west_bank,1,جنين,,,,32.517496,35.424019,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1017,بير الباشا,Bir al Basha,bir-al-basha,village,west_bank,1,جنين,,,,32.461393,35.238652,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1018,كفر دان,Kafr Dan,kafr-dan,village,west_bank,1,جنين,,,,32.413216,35.385491,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1019,اليامون,Al Yamun,al-yamun,village,west_bank,1,جنين,,,,32.470878,35.299084,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1020,سيلة الحارثية,Silat al Harithiya,silat-al-harithiya,village,west_bank,1,جنين,,,,32.426638,35.249389,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1021,العرقة,Al Araqa,al-araqa,village,west_bank,1,جنين,,,,32.470142,35.436964,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1022,رمانة,Rummana,rummana,village,west_bank,1,جنين,,,,32.471747,35.269298,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1023,زبوبا,Zububa,zububa,village,west_bank,1,جنين,,,,32.408167,35.321211,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1024,تعنك,Taanak,taanak,village,west_bank,1,جنين,,,,32.534353,35.377447,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1025,عانين,Anin,anin,village,west_bank,1,جنين,,,,32.450803,35.247604,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1026,فقوعة,Fakkuah,fakkuah,village,west_bank,1,جنين,,,,32.433662,35.403675,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1027,جلبون,Jalbun,jalbun,village,west_bank,1,جنين,,,,32.547972,35.233039,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1028,بيت قاد,Beit Qad,beit-qad,village,west_bank,1,جنين,,,,32.422425,35.275436,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1029,دير غزالة,Deir Ghazala,deir-ghazala,village,west_bank,1,جنين,,,,32.493732,35.416661,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1030,عربونة,Arabuna,arabuna,village,west_bank,1,جنين,,,,32.464344,35.270023,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1031,كفر قود,Kafr Qud,kafr-qud,village,west_bank,1,جنين,,,,32.418275,35.348793,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1032,أم التوت,Umm at Tut,umm-at-tut,village,west_bank,1,جنين,,,,32.540985,35.325285,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1033,دير أبو ضعيف,Deir Abu Daif,deir-abu-daif,village,west_bank,1,جنين,,,,32.44363,35.26158,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1034,عرانة,Arrana,arrana,village,west_bank,1,جنين,,,,32.455113,35.407433,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1035,جلمة,Jalama,jalama,village,west_bank,1,جنين,,,,32.527415,35.186576,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1036,مخيم جنين,Jenin Camp,jenin-camp,camp,west_bank,1,جنين,,,,32.42359,35.300333,approximate_generated,20,20,30,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1037,طوباس,Tubas,tubas,city,west_bank,2,طوباس,,,,32.32,35.37,governorate_center,15,15,25,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1038,طمون,Tammun,tammun,town,west_bank,2,طوباس,,,,32.246911,35.381664,approximate_generated,20,20,30,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1039,عقابا,Aqqaba,aqqaba,town,west_bank,2,طوباس,,,,32.334229,35.389835,approximate_generated,20,20,30,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1040,تياسير,Tayasir,tayasir,village,west_bank,2,طوباس,,,,32.311205,35.279604,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1041,بردلة,Bardala,bardala,village,west_bank,2,طوباس,,,,32.275426,35.497409,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1042,عين البيضاء,Ein al Beida,ein-al-beida,village,west_bank,2,طوباس,,,,32.346663,35.356967,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1043,كردلة,Kardala,kardala,village,west_bank,2,طوباس,,,,32.266601,35.31958,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1044,الفارعة,Al Faraa,al-faraa,camp,west_bank,2,طوباس,,,,32.351813,35.528368,approximate_generated,20,20,30,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1045,وادي الفارعة,Wadi al Faraa,wadi-al-faraa,village,west_bank,2,طوباس,,,,32.334227,35.307328,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1046,رأس الفارعة,Ras al Faraa,ras-al-faraa,village,west_bank,2,طوباس,,,,32.256736,35.423833,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1047,إبزيق,Ibziq,ibziq,village,west_bank,2,طوباس,,,,32.33375,35.37784,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1048,عاطوف,Atuf,atuf,village,west_bank,2,طوباس,,,,32.296447,35.296113,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1049,المالح,Al Maleh,al-maleh,village,west_bank,2,طوباس,,,,32.302928,35.511229,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1050,الحديدية,Al Hadidiya,al-hadidiya,village,west_bank,2,طوباس,,,,32.339706,35.344807,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1051,حمصة,Hamsa,hamsa,village,west_bank,2,طوباس,,,,32.263819,35.35677,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1052,طولكرم,Tulkarm,tulkarm,city,west_bank,3,طولكرم,,,,32.31,35.03,governorate_center,15,15,25,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1053,عنبتا,Anabta,anabta,town,west_bank,3,طولكرم,,,,32.236911,35.041664,approximate_generated,20,20,30,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1054,عتيل,Attil,attil,town,west_bank,3,طولكرم,,,,32.324229,35.049835,approximate_generated,20,20,30,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1055,بلعا,Balaa,balaa,town,west_bank,3,طولكرم,,,,32.301205,34.939604,approximate_generated,20,20,30,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1056,دير الغصون,Deir al Ghusun,deir-al-ghusun,town,west_bank,3,طولكرم,,,,32.265426,35.157409,approximate_generated,20,20,30,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1057,زيتا,Zeita,zeita,town,west_bank,3,طولكرم,,,,32.336663,35.016967,approximate_generated,20,20,30,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1058,باقة الشرقية,Baqa ash Sharqiya,baqa-ash-sharqiya,town,west_bank,3,طولكرم,,,,32.256601,34.97958,approximate_generated,20,20,30,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1059,كفر اللبد,Kafr al Labad,kafr-al-labad,village,west_bank,3,طولكرم,,,,32.341813,35.188368,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1060,رامين,Ramin,ramin,village,west_bank,3,طولكرم,,,,32.324227,34.967328,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1061,بيت ليد,Beit Lid,beit-lid,village,west_bank,3,طولكرم,,,,32.246736,35.083833,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1062,سفارين,Saffarin,saffarin,village,west_bank,3,طولكرم,,,,32.32375,35.03784,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1063,شوفة,Shufa,shufa,village,west_bank,3,طولكرم,,,,32.286447,34.956113,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1064,كفر جمال,Kafr Jammal,kafr-jammal,village,west_bank,3,طولكرم,,,,32.292928,35.171229,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1065,كفر زيباد,Kafr Zibad,kafr-zibad,village,west_bank,3,طولكرم,,,,32.329706,35.004807,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1066,كفر عبوش,Kafr Abbush,kafr-abbush,village,west_bank,3,طولكرم,,,,32.253819,35.01677,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1067,كور,Kur,kur,village,west_bank,3,طولكرم,,,,32.367496,35.154019,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1068,فرعون,Farun,farun,village,west_bank,3,طولكرم,,,,32.311393,34.968652,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1069,ارتاح,Irtah,irtah,village,west_bank,3,طولكرم,,,,32.263216,35.115491,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1070,ذنابة,Dhinnaba,dhinnaba,town,west_bank,3,طولكرم,,,,32.320878,35.029084,approximate_generated,20,20,30,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1071,النزلة الشرقية,Nazlat ash Sharqiya,nazlat-ash-sharqiya,village,west_bank,3,طولكرم,,,,32.276638,34.979389,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1072,النزلة الوسطى,Nazlat al Wusta,nazlat-al-wusta,village,west_bank,3,طولكرم,,,,32.320142,35.166964,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1073,النزلة الغربية,Nazlat al Gharbiya,nazlat-al-gharbiya,village,west_bank,3,طولكرم,,,,32.321747,34.999298,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1074,مخيم طولكرم,Tulkarm Camp,tulkarm-camp,camp,west_bank,3,طولكرم,,,,32.258167,35.051211,approximate_generated,20,20,30,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1075,مخيم نور شمس,Nur Shams Camp,nur-shams-camp,camp,west_bank,3,طولكرم,,,,32.384353,35.107447,approximate_generated,20,20,30,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1076,قلقيلية,Qalqilya,qalqilya,city,west_bank,4,قلقيلية,,,,32.2,34.98,governorate_center,15,15,25,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1077,عزون,Azzun,azzun,town,west_bank,4,قلقيلية,,,,32.126911,34.991664,approximate_generated,20,20,30,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1078,حبلة,Habla,habla,town,west_bank,4,قلقيلية,,,,32.214229,34.999835,approximate_generated,20,20,30,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1079,جيوس,Jayyus,jayyus,town,west_bank,4,قلقيلية,,,,32.191205,34.889604,approximate_generated,20,20,30,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1080,كفر ثلث,Kafr Thulth,kafr-thulth,town,west_bank,4,قلقيلية,,,,32.155426,35.107409,approximate_generated,20,20,30,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1081,كفر قدوم,Kafr Qaddum,kafr-qaddum,village,west_bank,4,قلقيلية,,,,32.226663,34.966967,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1082,كفر لاقف,Kafr Laqif,kafr-laqif,village,west_bank,4,قلقيلية,,,,32.146601,34.92958,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1083,جيت,Jit,jit,village,west_bank,4,قلقيلية,,,,32.231813,35.138368,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1084,فرعتا,Farata,farata,village,west_bank,4,قلقيلية,,,,32.214227,34.917328,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1085,إماتين,Immatin,immatin,village,west_bank,4,قلقيلية,,,,32.136736,35.033833,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1086,الفندق,Al Funduq,al-funduq,village,west_bank,4,قلقيلية,,,,32.21375,34.98784,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1087,حجة,Hajja,hajja,village,west_bank,4,قلقيلية,,,,32.176447,34.906113,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1088,باقة الحطب,Baqat al Hatab,baqat-al-hatab,village,west_bank,4,قلقيلية,,,,32.182928,35.121229,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1089,كفر صور,Kafr Sur,kafr-sur,village,west_bank,4,قلقيلية,,,,32.219706,34.954807,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1090,عزبة الطبيب,Izbat at Tabib,izbat-at-tabib,village,west_bank,4,قلقيلية,,,,32.143819,34.96677,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1091,رأس عطية,Ras Atiya,ras-atiya,village,west_bank,4,قلقيلية,,,,32.257496,35.104019,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1092,عسلة,Isla,isla,village,west_bank,4,قلقيلية,,,,32.201393,34.918652,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1093,سنيريا,Sanniriya,sanniriya,village,west_bank,4,قلقيلية,,,,32.153216,35.065491,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1094,بيت أمين,Beit Amin,beit-amin,village,west_bank,4,قلقيلية,,,,32.210878,34.979084,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1095,عزون عتمة,Azzun Atma,azzun-atma,village,west_bank,4,قلقيلية,,,,32.166638,34.929389,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1096,النبي إلياس,An Nabi Elyas,an-nabi-elyas,village,west_bank,4,قلقيلية,,,,32.210142,35.116964,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1097,نابلس,Nablus,nablus,city,west_bank,5,نابلس,,,,32.22,35.26,governorate_center,15,15,25,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1098,حوارة,Huwwara,huwwara,town,west_bank,5,نابلس,,,,32.146911,35.271664,approximate_generated,20,20,30,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1099,عصيرة الشمالية,Asira ash Shamaliya,asira-ash-shamaliya,town,west_bank,5,نابلس,,,,32.234229,35.279835,approximate_generated,20,20,30,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1100,بيتا,Beita,beita,town,west_bank,5,نابلس,,,,32.211205,35.169604,approximate_generated,20,20,30,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1101,عقربا,Aqraba,aqraba,town,west_bank,5,نابلس,,,,32.175426,35.387409,approximate_generated,20,20,30,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1102,جماعين,Jammaein,jammaein,town,west_bank,5,نابلس,,,,32.246663,35.246967,approximate_generated,20,20,30,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1103,سبسطية,Sebastia,sebastia,town,west_bank,5,نابلس,,,,32.166601,35.20958,approximate_generated,20,20,30,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1104,تل,Tell,tell,town,west_bank,5,نابلس,,,,32.251813,35.418368,approximate_generated,20,20,30,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1105,قبلان,Qabalan,qabalan,town,west_bank,5,نابلس,,,,32.234227,35.197328,approximate_generated,20,20,30,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1106,بيت فوريك,Beit Furik,beit-furik,town,west_bank,5,نابلس,,,,32.156736,35.313833,approximate_generated,20,20,30,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1107,بلاطة البلد,Balata al Balad,balata-al-balad,village,west_bank,5,نابلس,,,,32.23375,35.26784,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1108,روجيب,Rujeib,rujeib,village,west_bank,5,نابلس,,,,32.196447,35.186113,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1109,بيت دجن,Beit Dajan,beit-dajan,village,west_bank,5,نابلس,,,,32.202928,35.401229,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1110,سالم,Salim,salim,village,west_bank,5,نابلس,,,,32.239706,35.234807,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1111,دير الحطب,Deir al Hatab,deir-al-hatab,village,west_bank,5,نابلس,,,,32.163819,35.24677,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1112,عزموط,Azmut,azmut,village,west_bank,5,نابلس,,,,32.277496,35.384019,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1113,عورتا,Awarta,awarta,village,west_bank,5,نابلس,,,,32.221393,35.198652,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1114,أودلا,Odala,odala,village,west_bank,5,نابلس,,,,32.173216,35.345491,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1115,مادما,Madama,madama,village,west_bank,5,نابلس,,,,32.230878,35.259084,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1116,بورين,Burin,burin,village,west_bank,5,نابلس,,,,32.186638,35.209389,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1117,عصيرة القبلية,Asira al Qibliya,asira-al-qibliya,village,west_bank,5,نابلس,,,,32.230142,35.396964,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1118,عوريف,Urif,urif,village,west_bank,5,نابلس,,,,32.231747,35.229298,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1119,عينابوس,Einabus,einabus,village,west_bank,5,نابلس,,,,32.168167,35.281211,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1120,يتما,Yatma,yatma,village,west_bank,5,نابلس,,,,32.294353,35.337447,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1121,أوصرين,Osarin,osarin,village,west_bank,5,نابلس,,,,32.210803,35.207604,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1122,قريوت,Qaryut,qaryut,village,west_bank,5,نابلس,,,,32.193662,35.363675,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1123,جالود,Jalud,jalud,village,west_bank,5,نابلس,,,,32.307972,35.193039,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1124,تلفيت,Talfit,talfit,village,west_bank,5,نابلس,,,,32.182425,35.235436,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1125,قصرة,Qusra,qusra,village,west_bank,5,نابلس,,,,32.253732,35.376661,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1126,جوريش,Jurish,jurish,village,west_bank,5,نابلس,,,,32.224344,35.230023,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1127,مجدل بني فاضل,Majdal Bani Fadil,majdal-bani-fadil,village,west_bank,5,نابلس,,,,32.178275,35.308793,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1128,دوما,Duma,duma,village,west_bank,5,نابلس,,,,32.300985,35.285285,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1129,اللبن الشرقية,Al Lubban ash Sharqiya,al-lubban-ash-sharqiya,village,west_bank,5,نابلس,,,,32.20363,35.22158,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1130,الساوية,As Sawiya,as-sawiya,village,west_bank,5,نابلس,,,,32.215113,35.367433,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1131,زواتا,Zawata,zawata,village,west_bank,5,نابلس,,,,32.287415,35.146576,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1132,بيت إيبا,Beit Iba,beit-iba,village,west_bank,5,نابلس,,,,32.18359,35.260333,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1133,دير شرف,Deir Sharaf,deir-sharaf,village,west_bank,5,نابلس,,,,32.27109,35.34424,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1134,الناقورة,An Naqura,an-naqura,village,west_bank,5,نابلس,,,,32.218749,35.235505,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1135,اجنسنيا,Ijnisinya,ijnisinya,village,west_bank,5,نابلس,,,,32.192142,35.32676,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1136,نصف جبيل,Nisf Jubeil,nisf-jubeil,village,west_bank,5,نابلس,,,,32.297378,35.234382,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1137,بيت امرين,Beit Imrin,beit-imrin,village,west_bank,5,نابلس,,,,32.200354,35.23753,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1138,طلوزة,Talluza,talluza,village,west_bank,5,نابلس,,,,32.23475,35.357789,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1139,ياصيد,Yasid,yasid,village,west_bank,5,نابلس,,,,32.260315,35.117103,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1140,الباذان,Al Badhan,al-badhan,village,west_bank,5,نابلس,,,,32.189163,35.280798,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1141,النصارية,An Nassariya,an-nassariya,village,west_bank,5,نابلس,,,,32.280624,35.304848,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1142,عين شبلي,Ein Shibli,ein-shibli,village,west_bank,5,نابلس,,,,32.215711,35.243555,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1143,مخيم بلاطة,Balata Camp,balata-camp,camp,west_bank,5,نابلس,,,,32.207466,35.333969,approximate_generated,20,20,30,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1144,مخيم عسكر,Askar Camp,askar-camp,camp,west_bank,5,نابلس,,,,32.284811,35.190909,approximate_generated,20,20,30,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1145,مخيم العين,Al Ein Camp,al-ein-camp,camp,west_bank,5,نابلس,,,,32.200748,35.252491,approximate_generated,20,20,30,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1146,سلفيت,Salfit,salfit,city,west_bank,6,سلفيت,,,,32.08,35.18,governorate_center,15,15,25,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1147,بديا,Biddya,biddya,town,west_bank,6,سلفيت,,,,32.006911,35.191664,approximate_generated,20,20,30,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1148,الزاوية,Az Zawiya,az-zawiya,town,west_bank,6,سلفيت,,,,32.094229,35.199835,approximate_generated,20,20,30,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1149,دير بلوط,Deir Ballut,deir-ballut,town,west_bank,6,سلفيت,,,,32.071205,35.089604,approximate_generated,20,20,30,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1150,كفل حارس,Kifl Haris,kifl-haris,town,west_bank,6,سلفيت,,,,32.035426,35.307409,approximate_generated,20,20,30,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1151,قراوة بني حسان,Qarawat Bani Hassan,qarawat-bani-hassan,town,west_bank,6,سلفيت,,,,32.106663,35.166967,approximate_generated,20,20,30,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
